"neo","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T"
Y,1.245,,0.314,9.196,,,,,,
Y,2.102,,0.191,7.161,,,,,,
Y,1.348,,0.098,6.36,,,,,S,
Y,1.165,,0.228,206,,,,,,
Y,0.745,,0.349,53.756,,,,,,
Y,0.802,,0.301,3.0239,,,,,Sq,
Y,1.823,,0.232,3.0996,,,,,S:,
Y,0.568,,0.499,2.1651,,,,,,
Y,1.948,,0.142,,,,,,,
Y,1.371,,0.374,2.6906,,,,,,
Y,0.912,,0.028,,,,,,,
Y,0.800,,0.252,38.56,,,,,,
Y,5.748,,0.037,13.17,,,,,,
Y,0.760,,0.281,2.4004,,,,,,
Y,2.038,,0.246,40.553,,,,,S,
Y,5.067,,0.079,2.6149,,,,,,
Y,1.407,,0.224,5.527,,,,,,
Y,2.233,,0.294,7.879,,,,,,
Y,1.748,,0.048,,,,,,,
Y,0.572,,0.493,505.,,,,,,
Y,0.968,,0.062,43.58,,,,,,
Y,3.605,,0.041,,,,,,,
Y,0.882,,0.489,520,,,,,S:,
Y,1.115,,0.429,19.7,,,,,,
Y,1.4,,,2.5246,,,,,Sq,
Y,0.34,,0.35,30.56,,,,,Sq,
Y,2.70,,0.0668,3.1643,,,,,,
Y,1.809,,0.163,6.369,,,,,S,
Y,1.174,,0.234,2.328,,,,,S,
Y,0.482,"0.5047 x 0.4918 x 0.4567",0.044,4.296061,4.8904e-9,0.64,0.16,-0.33,B,
Y,1.282,,0.246,9.849,,,,,,
Y,1.946,,0.223,6.9269,,,,,,
Y,0.352,,0.431,,,,,,,
Y,1.423,,0.060,4.495,,,,,,
Y,3.006,,0.178,,,,,,,
Y,3.618,,0.033,4.787,,,,,,
Y,0.4,,,,,0.705,0.205,,,XC
Y,3.398,,0.073,28.55,,,,,,
Y,1.055,,0.183,2.925,,,,,,
Y,1.265,,0.411,2.58,,,,,Sq,
Y,1.228,,0.322,5.419,,,,,,
Y,0.564,,0.291,,,,,,,
Y,2.243,,0.027,3.93,,,,,X,
Y,0.970,,0.247,10.57,,,,,,
Y,1.372,,0.373,48,,,,,Q,
Y,3.518,,0.172,,,,,,,
Y,0.754,,0.449,2.586,,,,,,
Y,1.085,,0.095,3.685,,,,,,
Y,0.965,,0.396,7.6,,,,,,
Y,1.222,,0.247,10.592,,,,,,
Y,0.447,,0.292,,,,,,,
Y,0.32,,0.52,5.207,,,,,S,
Y,1.126,,0.127,11.3,,,,,,
Y,2.586,,0.038,44.25,,,,,,
Y,0.566,,0.289,3.143,,,,,,
Y,1.263,,0.231,6.58,,,,,,
Y,0.239,,0.340,2.605,,,,,,
